Stone,STONE,1,0
Grass Block,GRASS,2,0
Dirt,DIRT,3,0
Grassless Dirt,DIRT,3,1
Podzol,DIRT,3,2
Cobblestone,COBBLESTONE,4,0
Oak Wood Planks,WOOD,5,0
Spruce Wood Planks,WOOD,5,1
Birch Wood Planks,WOOD,5,2
Jungle Wood Planks,WOOD,5,3
Acacia Wood Planks,WOOD,5,4
Dark Oak Wood Planks,WOOD,5,5
Oak Sapling,SAPLING,6,0
Spruce Sapling,SAPLING,6,1
Birch Sapling,SAPLING,6,2
Jungle Sapling,SAPLING,6,3
Acacia Sapling,SAPLING,6,4
Dark Oak Sapling,SAPLING,6,5
Bedrock,BEDROCK,7,0
Water,WATER,8,0
Stationary Water,STATIONARY_WATER,9,0
Lava,LAVA,10,0
Stationary Lava,STATIONARY_LAVA,11,0
Sand,SAND,12,0
Gravel,GRAVEL,13,0
Gold Ore,GOLD_ORE,14,0
Iron Ore,IRON_ORE,15,0
Coal Ore,COAL_ORE,16,0
Oak Wood,LOG,17,0
Spruce Wood,LOG,17,1
Birch Wood,LOG,17,2
Jungle Wood,LOG,17,3
Leaves,LEAVES,18,0
Sponge,SPONGE,19,0
Glass,GLASS,20,0
Lapis Ore,LAPIS_ORE,21,0
Lapis Block,LAPIS_BLOCK,22,0
Dispenser,DISPENSER,23,0
Sandstone,SANDSTONE,24,0
Note Block,NOTE_BLOCK,25,0
Bed Block,BED_BLOCK,26,0
Powered Rail,POWERED_RAIL,27,0
Detector Rail,DETECTOR_RAIL,28,0
Piston Sticky Base,PISTON_STICKY_BASE,29,0
Web,WEB,30,0
Shrub,LONG_GRASS,31,0
Grass,LONG_GRASS,31,1
Fern,LONG_GRASS,31,2
Dead Bush,DEAD_BUSH,32,0
Piston Base,PISTON_BASE,33,0
Piston Extension,PISTON_EXTENSION,34,0
White Wool,WOOL,35,0
Orange Wool,WOOL,35,1
Magenta Wool,WOOL,35,2
Light Blue Wool,WOOL,35,3
Yellow Wool,WOOL,35,4
Lime Wool,WOOL,35,5
Pink Wool,WOOL,35,6
Gray Wool,WOOL,35,7
Light Gray Wool,WOOL,35,8
Cyan Wool,WOOL,35,9
Purple Wool,WOOL,35,10
Blue Wool,WOOL,35,11
Brown Wool,WOOL,35,12
Green Wool,WOOL,35,13
Red Wool,WOOL,35,14
Black Wool,WOOL,35,15
Piston Moving Piece,PISTON_MOVING_PIECE,36,0
Dandelion,YELLOW_FLOWER,37,0
Poppy,RED_ROSE,38,0
Blue Orchid,RED_ROSE,38,1
Allium,RED_ROSE,38,2
Azure Bluet,RED_ROSE,38,3
Red Tulip,RED_ROSE,38,4
Orange Tulip,RED_ROSE,38,5
